CATEGORY ,CONTESTANT NAME,CODE,CATEGORYID,CONTESTANTID
MOST PROMISING ARTIST OF THE YEAR,SAMANTHA SAETUA,21MPARY10,21,10
MOST PROMISING ARTIST OF THE YEAR,JOSE KALESON,21MPARY11,21,11
MOST PROMISING ARTIST OF THE YEAR,DOCHIE,21MPARY12,21,12
MOST PROMISING ARTIST OF THE YEAR,MERCY SONN,21MPARY13,21,13
MOST PROMISING ARTIST OF THE YEAR,ELLY GITS,21MPARY14,21,14
MOST PROMISING ARTIST OF THE YEAR,JAY DONGA  ,"  21MPARY15
",21,15
TRADITIONAL SONGS OF THE YEAR,TRESSY K.     - NGAI NI NGAI,22TRSY1,22,1
TRADITIONAL SONGS OF THE YEAR,MARY NJUGUNA MWAMBA - NDIKARIGANIRWO,22TRSY2,22,2
TRADITIONAL SONGS OF THE YEAR,TERRYK.     - THINA,22TRSY3,22,3
TRADITIONAL SONGS OF THE YEAR,EUNICE LANG’AT   - KASS KURSET,22TRSY4,22,4
TRADITIONAL SONGS OF THE YEAR,SUSAN NDUNG’U   - TUTIGUTHIRA,22TRSY5,22,5
TRADITIONAL SONGS OF THE YEAR,LETAIYAN OLEIGERO  - SHUMATA,22TRSY6,22,6
TRADITIONAL SONGS OF THE YEAR,MINISTER PAUL GATUNE  - NGAI WA MWENA WAKWA,22TRSY7,22,7
TRADITIONAL SONGS OF THE YEAR,ANNE BLESSED   - AHERI NYASAYE,22TRSY8,22,8
TRADITIONAL SONGS OF THE YEAR,JOHN MAGERO   - NG’WONO,22TRSY9,22,9
AUDIO PRODUCER OF THE YEAR,DIRECTOR JEREMY  - SMARTLINK RECORDS,23APRY1,23,1
AUDIO PRODUCER OF THE YEAR,PINCHEZ,23APRY2,23,2
AUDIO PRODUCER OF THE YEAR,T-BEAT,23APRY3,23,3
AUDIO PRODUCER OF THE YEAR,SHEM WILLIS,23APRY4,23,4
AUDIO PRODUCER OF THE YEAR,DR. BOIZ   -  FULL ANCHOR MUSIC,23APRY5,23,5
AUDIO PRODUCER OF THE YEAR,PRODUCER SM  - SM RECORDS,23APRY6,23,6
AUDIO PRODUCER OF THE YEAR,WIKY LBDS,23APRY7,23,7
AUDIO PRODUCER OF THE YEAR,MIC RULE,23APRY8,23,8
AUDIO PRODUCER OF THE YEAR,COLO MZIMA,23APRY9,23,9
